"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"BEN";"Benin";"Alibori";"Département";"BEN.1_1";"BJ.AL"
"BEN";"Benin";"Atakora";"Département";"BEN.2_1";"BJ.AK"
"BEN";"Benin";"Atlantique";"Département";"BEN.3_1";"BJ.AQ"
"BEN";"Benin";"Borgou";"Département";"BEN.4_1";"BJ.BO"
"BEN";"Benin";"Collines";"Département";"BEN.5_1";"BJ.CL"
"BEN";"Benin";"Donga";"Département";"BEN.6_1";"BJ.DO"
"BEN";"Benin";"Kouffo";"Département";"BEN.7_1";"BJ.CF"
"BEN";"Benin";"Littoral";"Département";"BEN.8_1";"BJ.LI"
"BEN";"Benin";"Mono";"Département";"BEN.9_1";"BJ.MO"
"BEN";"Benin";"Ouémé";"Département";"BEN.10_1";"BJ.OU"
"BEN";"Benin";"Plateau";"Département";"BEN.11_1";"BJ.PL"
"BEN";"Benin";"Zou";"Département";"BEN.12_1";"BJ.ZO"
