GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2019
BEN;Benin;Alibori;Département;BEN.1_1;BJ.AL;BJ01;1 030 006
BEN;Benin;Atakora;Département;BEN.2_1;BJ.AK;BJ02;917 249
BEN;Benin;Atlantique;Département;BEN.3_1;BJ.AQ;BJ03;1 660 218
BEN;Benin;Borgou;Département;BEN.4_1;BJ.BO;BJ04;1 441 772
BEN;Benin;Collines;Département;BEN.5_1;BJ.CL;BJ05;851 916
BEN;Benin;Donga;Département;BEN.6_1;BJ.DO;BJ06;884 983
BEN;Benin;Kouffo;Département;BEN.7_1;BJ.CF;BJ07;644 902
BEN;Benin;Littoral;Département;BEN.8_1;BJ.LI;BJ08;806 243
BEN;Benin;Mono;Département;BEN.9_1;BJ.MO;BJ09;590 406
BEN;Benin;Ouémé;Département;BEN.10_1;BJ.OU;BJ10;1 279 807
BEN;Benin;Plateau;Département;BEN.11_1;BJ.PL;BJ11;738 988
BEN;Benin;Zou;Département;BEN.12_1;BJ.ZO;BJ12;1 011 140
