GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2019;IPUMS_1;CTR;CTR_LON;CTR_LAT
BEN;Benin;Alibori;Département;BEN.1_1;BJ.AL;BJ01;1030006;204001;Kandi;2,93745;11,13464
BEN;Benin;Atakora;Département;BEN.2_1;BJ.AK;BJ02;917249;204002;Natitingou;1,38082;10,29824
BEN;Benin;Atlantique;Département;BEN.3_1;BJ.AQ;BJ03;1660218;204003;Allada;2,14972;6,66448
BEN;Benin;Borgou;Département;BEN.4_1;BJ.BO;BJ04;1441772;204004;Parakou;2,62882;9,33895
BEN;Benin;Collines;Département;BEN.5_1;BJ.CL;BJ05;851916;204005;Dassa-Zoumè;2,18332;7,78105
BEN;Benin;Donga;Département;BEN.6_1;BJ.DO;BJ06;884983;204006;Djougou;1,66615;9,7072
BEN;Benin;Kouffo;Département;BEN.7_1;BJ.CF;BJ07;644902;204007;Aplahoué;1,67602;6,9398
BEN;Benin;Littoral;Département;BEN.8_1;BJ.LI;BJ08;806243;204008;Cotonou;2,41024;6,3709
BEN;Benin;Mono;Département;BEN.9_1;BJ.MO;BJ09;590406;204009;Lokossa;1,71314;6,64184
BEN;Benin;Ouémé;Département;BEN.10_1;BJ.OU;BJ10;1279807;204010;Porto-Novo;2,61986;6,47709
BEN;Benin;Plateau;Département;BEN.11_1;BJ.PL;BJ11;738988;204011;Pobè;2,66418;6,98377
BEN;Benin;Zou;Département;BEN.12_1;BJ.ZO;BJ12;1011140;204012;Abomey;2,00952;7,1839
