"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"Commune";"BEN.1.1_1";"BJ.AL.BA"
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"Commune";"BEN.1.2_1";"BJ.AL.GO"
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"Commune";"BEN.1.3_1";"BJ.AL.KN"
"BEN";"Benin";"Alibori";"BEN.1_1";"Karimama";"Commune";"BEN.1.4_1";"BJ.AL.KR"
"BEN";"Benin";"Alibori";"BEN.1_1";"Malanville";"Commune";"BEN.1.5_1";"BJ.AL.MA"
"BEN";"Benin";"Alibori";"BEN.1_1";"Ségbana";"Commune";"BEN.1.6_1";"BJ.AL.SE"
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"Commune";"BEN.2.1_1";"BJ.AK.BO"
"BEN";"Benin";"Atakora";"BEN.2_1";"Cobly";"Commune";"BEN.2.2_1";"BJ.AK.CB"
"BEN";"Benin";"Atakora";"BEN.2_1";"Kérou";"Commune";"BEN.2.3_1";"BJ.AK.KE"
"BEN";"Benin";"Atakora";"BEN.2_1";"Kouandé";"Commune";"BEN.2.4_1";"BJ.AK.KO"
"BEN";"Benin";"Atakora";"BEN.2_1";"Matéri";"Commune";"BEN.2.5_1";"BJ.AK.MA"
"BEN";"Benin";"Atakora";"BEN.2_1";"Natitingou";"Commune";"BEN.2.6_1";"BJ.AK.NA"
"BEN";"Benin";"Atakora";"BEN.2_1";"Péhunco";"Commune";"BEN.2.7_1";"BJ.AK.PE"
"BEN";"Benin";"Atakora";"BEN.2_1";"Tanguiéta";"Commune";"BEN.2.8_1";"BJ.AK.TA"
"BEN";"Benin";"Atakora";"BEN.2_1";"Toucountouna";"Commune";"BEN.2.9_1";"BJ.AK.TO"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Abomey-Calavi";"Commune";"BEN.3.1_1";"BJ.AQ.AC"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Allada";"Commune";"BEN.3.2_1";"BJ.AQ.AL"
"BEN";"Benin";"Atlantique";"BEN.3_1";"Kpomassè";"Commune";"BEN.3.3_1";"BJ.AQ.KP"
