GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADM2PCODE;POP2019;IPUMS_2
BEN;Benin;Alibori;BEN.1_1;Banikoara;Commune;BEN.1.1_1;BJ.AL.BA;BJ0101;292778;204001001
BEN;Benin;Alibori;BEN.1_1;Gogounou;Commune;BEN.1.2_1;BJ.AL.GO;BJ0102;139544;204001002
BEN;Benin;Alibori;BEN.1_1;Kandi;Commune;BEN.1.3_1;BJ.AL.KN;BJ0103;212883;204001003
BEN;Benin;Alibori;BEN.1_1;Karimama;Commune;BEN.1.4_1;BJ.AL.KR;BJ0104;78785;204001004
BEN;Benin;Alibori;BEN.1_1;Malanville;Commune;BEN.1.5_1;BJ.AL.MA;BJ0105;200243;204001005
BEN;Benin;Alibori;BEN.1_1;Ségbana;Commune;BEN.1.6_1;BJ.AL.SE;BJ0106;105773;204001006
BEN;Benin;Atakora;BEN.2_1;Boukoumbé;Commune;BEN.2.1_1;BJ.AK.BO;BJ0201;97898;204002001
BEN;Benin;Atakora;BEN.2_1;Cobly;Commune;BEN.2.2_1;BJ.AK.CB;BJ0202;118969;204002002
BEN;Benin;Atakora;BEN.2_1;Kérou;Commune;BEN.2.3_1;BJ.AK.KE;BJ0203;80271;204002003
BEN;Benin;Atakora;BEN.2_1;Kouandé;Commune;BEN.2.4_1;BJ.AK.KO;BJ0204;132442;204002004
BEN;Benin;Atakora;BEN.2_1;Matéri;Commune;BEN.2.5_1;BJ.AK.MA;BJ0205;135312;204002005
BEN;Benin;Atakora;BEN.2_1;Natitingou;Commune;BEN.2.6_1;BJ.AK.NA;BJ0206;123301;204002006
BEN;Benin;Atakora;BEN.2_1;Péhunco;Commune;BEN.2.7_1;BJ.AK.PE;BJ0207;92873;204002007
BEN;Benin;Atakora;BEN.2_1;Tanguiéta;Commune;BEN.2.8_1;BJ.AK.TA;BJ0208;88951;204002008
BEN;Benin;Atakora;BEN.2_1;Toucountouna;Commune;BEN.2.9_1;BJ.AK.TO;BJ0209;47232;204002009
BEN;Benin;Atlantique;BEN.3_1;Abomey-Calavi;Commune;BEN.3.1_1;BJ.AQ.AC;BJ0301;779343;204003001
BEN;Benin;Atlantique;BEN.3_1;Allada;Commune;BEN.3.2_1;BJ.AQ.AL;BJ0302;151405;204003002
BEN;Benin;Atlantique;BEN.3_1;Kpomassè;Commune;BEN.3.3_1;BJ.AQ.KP;BJ0303;80323;204003003
BEN;Benin;Atlantique;BEN.3_1;Ouidah;Commune;BEN.3.4_1;BJ.AQ.OU;BJ0304;192397;204003004
BEN;Benin;Atlantique;BEN.3_1;Sô-Ava;Commune;BEN.3.5_1;BJ.AQ.SA;BJ0305;140759;204003005
BEN;Benin;Atlantique;BEN.3_1;Toffo;Commune;BEN.3.6_1;BJ.AQ.TF;BJ0306;120618;204003006
BEN;Benin;Atlantique;BEN.3_1;Tori-Bossito;Commune;BEN.3.7_1;BJ.AQ.TB;BJ0307;68429;204003007
BEN;Benin;Atlantique;BEN.3_1;Zè;Commune;BEN.3.8_1;BJ.AQ.ZE;BJ0308;126944;204003008
BEN;Benin;Borgou;BEN.4_1;Bembèrèkè;Commune;BEN.4.1_1;BJ.BO.BE;BJ0401;155849;204004001
BEN;Benin;Borgou;BEN.4_1;Kalalé;Commune;BEN.4.2_1;BJ.BO.KL;BJ0402;200527;204004002
BEN;Benin;Borgou;BEN.4_1;N'Dali;Commune;BEN.4.3_1;BJ.BO.ND;BJ0403;134894;204004003
BEN;Benin;Borgou;BEN.4_1;Nikki;Commune;BEN.4.4_1;BJ.BO.NI;BJ0404;179568;204004004
BEN;Benin;Borgou;BEN.4_1;Parakou;Commune;BEN.4.5_1;BJ.BO.PA;BJ0405;303345;204004005
BEN;Benin;Borgou;BEN.4_1;Pèrèrè;Commune;BEN.4.6_1;BJ.BO.PE;BJ0406;93788;204004006
