"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Banikoara";"Arrondissement";"BEN.1.1.1_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Founougo";"Arrondissement";"BEN.1.1.2_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Gomparou";"Arrondissement";"BEN.1.1.3_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Goumori";"Arrondissement";"BEN.1.1.4_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Kokey";"Arrondissement";"BEN.1.1.5_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Kokiborou*";"Arrondissement";"BEN.1.1.6_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Ounet";"Arrondissement";"BEN.1.1.7_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Somp?r?kou";"Arrondissement";"BEN.1.1.8_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Soroko";"Arrondissement";"BEN.1.1.9_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Banikoara";"BEN.1.1_1";"Toura";"Arrondissement";"BEN.1.1.10_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"BEN.1.2_1";"Bagou";"Arrondissement";"BEN.1.2.1_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"BEN.1.2_1";"Gogounou";"Arrondissement";"BEN.1.2.2_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"BEN.1.2_1";"Gounarou";"Arrondissement";"BEN.1.2.3_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"BEN.1.2_1";"Ouara";"Arrondissement";"BEN.1.2.4_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"BEN.1.2_1";"Sori";"Arrondissement";"BEN.1.2.5_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Gogounou";"BEN.1.2_1";"Zougou-Pantrossi";"Arrondissement";"BEN.1.2.6_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Angaradébou";"Arrondissement";"BEN.1.3.1_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Bensékou";"Arrondissement";"BEN.1.3.2_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Donwari";"Arrondissement";"BEN.1.3.3_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Kandi I";"Arrondissement";"BEN.1.3.4_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Kandi II";"Arrondissement";"BEN.1.3.5_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Kandi III";"Arrondissement";"BEN.1.3.6_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Kassakou";"Arrondissement";"BEN.1.3.7_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Saah";"Arrondissement";"BEN.1.3.8_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Sam";"Arrondissement";"BEN.1.3.9_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Kandi";"BEN.1.3_1";"Sonsoro";"Arrondissement";"BEN.1.3.10_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Karimama";"BEN.1.4_1";"Birni-Lafia";"Arrondissement";"BEN.1.4.1_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Karimama";"BEN.1.4_1";"Bogo-Bogo";"Arrondissement";"BEN.1.4.2_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Karimama";"BEN.1.4_1";"Karimama";"Arrondissement";"BEN.1.4.3_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Karimama";"BEN.1.4_1";"Kompa";"Arrondissement";"BEN.1.4.4_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Karimama";"BEN.1.4_1";"Monsey";"Arrondissement";"BEN.1.4.5_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Malanville";"BEN.1.5_1";"Garou";"Arrondissement";"BEN.1.5.1_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Malanville";"BEN.1.5_1";"Guénè";"Arrondissement";"BEN.1.5.2_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Malanville";"BEN.1.5_1";"Madécali";"Arrondissement";"BEN.1.5.3_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Malanville";"BEN.1.5_1";"Malanville";"Arrondissement";"BEN.1.5.4_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Malanville";"BEN.1.5_1";"Toumbouctou";"Arrondissement";"BEN.1.5.5_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Ségbana";"BEN.1.6_1";"Libantè";"Arrondissement";"BEN.1.6.1_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Ségbana";"BEN.1.6_1";"Liboussou";"Arrondissement";"BEN.1.6.2_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Ségbana";"BEN.1.6_1";"Lougou";"Arrondissement";"BEN.1.6.3_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Ségbana";"BEN.1.6_1";"Ségbana";"Arrondissement";"BEN.1.6.4_1";NA
"BEN";"Benin";"Alibori";"BEN.1_1";"Ségbana";"BEN.1.6_1";"Sokotindji";"Arrondissement";"BEN.1.6.5_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Boukoumbè";"Arrondissement";"BEN.2.1.1_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Dipoili";"Arrondissement";"BEN.2.1.2_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Korontière";"Arrondissement";"BEN.2.1.3_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Kossoucoingou";"Arrondissement";"BEN.2.1.4_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Manta";"Arrondissement";"BEN.2.1.5_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Natta";"Arrondissement";"BEN.2.1.6_1";NA
"BEN";"Benin";"Atakora";"BEN.2_1";"Boukoumbé";"BEN.2.1_1";"Tabota";"Arrondissement";"BEN.2.1.7_1";NA
