"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"Région";"BFA.1_1";"BF.BO"
"BFA";"Burkina Faso";"Cascades";"Région";"BFA.2_1";"BF.CD"
"BFA";"Burkina Faso";"Centre";"Région";"BFA.7_1";"BF.CT"
"BFA";"Burkina Faso";"Centre-Est";"Région";"BFA.3_1";"BF.CE"
"BFA";"Burkina Faso";"Centre-Nord";"Région";"BFA.4_1";"BF.CN"
"BFA";"Burkina Faso";"Centre-Ouest";"Région";"BFA.5_1";"BF.CO"
"BFA";"Burkina Faso";"Centre-Sud";"Région";"BFA.6_1";"BF.CS"
"BFA";"Burkina Faso";"Est";"Région";"BFA.8_1";"BF.ES"
"BFA";"Burkina Faso";"Haut-Bassins";"Région";"BFA.9_1";"BF.HB"
"BFA";"Burkina Faso";"Nord";"Région";"BFA.10_1";"BF.NO"
"BFA";"Burkina Faso";"Plateau-Central";"Région";"BFA.11_1";"BF.PC"
"BFA";"Burkina Faso";"Sahel";"Région";"BFA.12_1";"BF.SA"
"BFA";"Burkina Faso";"Sud-Ouest";"Région";"BFA.13_1";"BF.SO"
