GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2019
BFA;Burkina Faso;Boucle du Mouhoun;Région;BFA.1_1;BF.BO;BF46;2030595
BFA;Burkina Faso;Cascades;Région;BFA.2_1;BF.CD;BF47;851276
BFA;Burkina Faso;Centre;Région;BFA.7_1;BF.CT;BF13;2966307
BFA;Burkina Faso;Centre-Est;Région;BFA.3_1;BF.CE;BF48;1655846
BFA;Burkina Faso;Centre-Nord;Région;BFA.4_1;BF.CN;BF49;1736152
BFA;Burkina Faso;Centre-Ouest;Région;BFA.5_1;BF.CO;BF50;1689721
BFA;Burkina Faso;Centre-Sud;Région;BFA.6_1;BF.CS;BF51;1197207
BFA;Burkina Faso;Est;Région;BFA.8_1;BF.ES;BF52;1834166
BFA;Burkina Faso;Haut-Bassins;Région;BFA.9_1;BF.HB;BF53;2190829
BFA;Burkina Faso;Nord;Région;BFA.10_1;BF.NO;BF54;1677542
BFA;Burkina Faso;Plateau-Central;Région;BFA.11_1;BF.PC;BF55;975568
BFA;Burkina Faso;Sahel;Région;BFA.12_1;BF.SA;BF56;1437848
BFA;Burkina Faso;Sud-Ouest;Région;BFA.13_1;BF.SO;BF57;891529
