GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2019;IPUMS1;CTR;CTR_LON;CTR_LAT
BFA;Burkina Faso;Boucle du Mouhoun;Région;BFA.1_1;BF.BO;BF46;2030595;854001;Dedougou;-3,467511;12,461155
BFA;Burkina Faso;Cascades;Région;BFA.2_1;BF.CD;BF47;851276;854002;Banfora;-4,761952;10,641794
BFA;Burkina Faso;Centre;Région;BFA.7_1;BF.CT;BF13;2966307;854003;Ouagadougou;-1,532039;12,366196
BFA;Burkina Faso;Centre-Est;Région;BFA.3_1;BF.CE;BF48;1655846;854004;Tenkodogo;-0,366834;11,78012
BFA;Burkina Faso;Centre-Nord;Région;BFA.4_1;BF.CN;BF49;1736152;854005;Kaya;-1,088243;13,091337
BFA;Burkina Faso;Centre-Ouest;Région;BFA.5_1;BF.CO;BF50;1689721;854006;Koudougou;-2,364894;12,250025
BFA;Burkina Faso;Centre-Sud;Région;BFA.6_1;BF.CS;BF51;1197207;854007;Manga;-1,067777;11,661188
BFA;Burkina Faso;Est;Région;BFA.8_1;BF.ES;BF52;1834166;854008;Fada N'Gouma;0,361775;12,059048
BFA;Burkina Faso;Haut-Bassins;Région;BFA.9_1;BF.HB;BF53;2190829;854009;Bobo-Dioulasso;-4,298774;11,16926
BFA;Burkina Faso;Nord;Région;BFA.10_1;BF.NO;BF54;1677542;854010;Ouahigouya;-2,417615;13,573805
BFA;Burkina Faso;Plateau-Central;Région;BFA.11_1;BF.PC;BF55;975568;854011;Ziniaré;-1,299167;12,589683
BFA;Burkina Faso;Sahel;Région;BFA.12_1;BF.SA;BF56;1437848;854012;Dori;-0,035435;14,032819
BFA;Burkina Faso;Sud-Ouest;Région;BFA.13_1;BF.SO;BF57;891529;854013;Gaoua;-3,186336;10,331636
