"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Balé";"Province";"BFA.1.1_1";"BF.BO.BA"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Banwa";"Province";"BFA.1.2_1";"BF.BO.BW"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Kossi";"Province";"BFA.1.3_1";"BF.BO.KS"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Mouhoun";"Province";"BFA.1.4_1";"BF.BO.MO"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Nayala";"Province";"BFA.1.5_1";"BF.BO.NY"
"BFA";"Burkina Faso";"Boucle du Mouhoun";"BFA.1_1";"Sourou";"Province";"BFA.1.6_1";"BF.BO.SR"
"BFA";"Burkina Faso";"Cascades";"BFA.2_1";"Comoé";"Province";"BFA.2.1_1";"BF.CD.KM"
"BFA";"Burkina Faso";"Cascades";"BFA.2_1";"Léraba";"Province";"BFA.2.2_1";"BF.CD.LE"
"BFA";"Burkina Faso";"Centre";"BFA.7_1";"Kadiogo";"Province";"BFA.7.1_1";"BF.CT.KA"
"BFA";"Burkina Faso";"Centre-Est";"BFA.3_1";"Boulgou";"Province";"BFA.3.1_1";"BF.CE.BL"
"BFA";"Burkina Faso";"Centre-Est";"BFA.3_1";"Koulpélogo";"Province";"BFA.3.2_1";"BF.CE.KL"
"BFA";"Burkina Faso";"Centre-Est";"BFA.3_1";"Kouritenga";"Province";"BFA.3.3_1";"BF.CE.KR"
"BFA";"Burkina Faso";"Centre-Nord";"BFA.4_1";"Bam";"Province";"BFA.4.1_1";"BF.CN.BM"
"BFA";"Burkina Faso";"Centre-Nord";"BFA.4_1";"Namentenga";"Province";"BFA.4.2_1";"BF.CN.NM"
