"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"CIV";"Côte d'Ivoire";"Abidjan";"District autonome";"CIV.1_1";"CI.AB"
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"District";"CIV.2_1";"CI.BA"
"CIV";"Côte d'Ivoire";"Comoé";"District";"CIV.3_1";"CI.CM"
"CIV";"Côte d'Ivoire";"Denguélé";"District";"CIV.4_1";"CI.DE"
"CIV";"Côte d'Ivoire";"Gôh-Djiboua";"District";"CIV.5_1";"CI.GD"
"CIV";"Côte d'Ivoire";"Lacs";"District";"CIV.6_1";"CI.LA"
"CIV";"Côte d'Ivoire";"Lagunes";"District";"CIV.7_1";"CI.LN"
"CIV";"Côte d'Ivoire";"Montagnes";"District";"CIV.8_1";"CI.MN"
"CIV";"Côte d'Ivoire";"Sassandra-Marahoué";"District";"CIV.9_1";"CI.SM"
"CIV";"Côte d'Ivoire";"Savanes";"District";"CIV.10_1";"CI.SV"
"CIV";"Côte d'Ivoire";"Vallée du Bandama";"District";"CIV.11_1";"CI.VB"
"CIV";"Côte d'Ivoire";"Woroba";"District";"CIV.12_1";"CI.WB"
"CIV";"Côte d'Ivoire";"Yamoussoukro";"District autonome";"CIV.13_1";"CI.YM"
"CIV";"Côte d'Ivoire";"Zanzan";"District";"CIV.14_1";"CI.ZA"
