GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMINPCOD;POP2019;CTR;CTR_LON;CTR_LAT
CIV;Côte d'Ivoire;Abidjan;District autonome;CIV.1_1;CI.AB;NA;5372892;Abidjan;-4,02044;5,32374
CIV;Côte d'Ivoire;Bas-Sassandra;District;CIV.2_1;CI.BA;NA;2602937;San-Pédro;-6,67;4,756
CIV;Côte d'Ivoire;Comoé;District;CIV.3_1;CI.CM;NA;1373122;Abengourou;-3,497;6,74
CIV;Côte d'Ivoire;Denguélé;District;CIV.4_1;CI.DE;NA;330741;Odienné;-7,564;9,503
CIV;Côte d'Ivoire;Gôh-Djiboua;District;CIV.5_1;CI.GD;NA;1832222;Gagnoa;-5,959;6,133
CIV;Côte d'Ivoire;Lacs;District;CIV.6_1;CI.LA;NA;1432705;Dimbokro;-4,707;6,653
CIV;Côte d'Ivoire;Lagunes;District;CIV.7_1;CI.LN;NA;1686993;Dabou;-4,378;5,32
CIV;Côte d'Ivoire;Montagnes;District;CIV.8_1;CI.MN;NA;2683076;Man;-7,548;7,403
CIV;Côte d'Ivoire;Sassandra-Marahoué;District;CIV.9_1;CI.SM;NA;2617493;Daloa;-6,455;6,876
CIV;Côte d'Ivoire;Savanes;District;CIV.10_1;CI.SV;NA;1830343;Korhogo;-5,631;9,462
CIV;Côte d'Ivoire;Vallée du Bandama;District;CIV.11_1;CI.VB;NA;1668561;Bouaké;-5,05;7,698
CIV;Côte d'Ivoire;Woroba;District;CIV.12_1;CI.WB;NA;995686;Séguéla;-6,673;7,963
CIV;Côte d'Ivoire;Yamoussoukro;District autonome;CIV.13_1;CI.YM;NA;405837;Yamoussoukro;-5,263;6,807
CIV;Côte d'Ivoire;Zanzan;District;CIV.14_1;CI.ZA;NA;1066450;Bondoukou;-2,803;8,039
