GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADMIN1PCOD;POP2019;CTR;CTR_LON;CTR_LAT
CIV;Côte d'Ivoire;Abidjan;CIV.1_1;Abidjan;District autonome;CIV.1.1_1;CI.AB.AB;CI01;5372892;Abidjan;-4,01952;5,31767
CIV;Côte d'Ivoire;Savanes;CIV.13_1;Yamoussoukro;District autonome;CIV.13.1_1;CI.YM.YM;CI02;405837;Yamoussoukro;-5,263;6,807
CIV;Côte d'Ivoire;Savanes;CIV.7_1;Agnéby-Tiassa;Région;CIV.7.1_1;CI.LN.AT;CI03;692645;Agboville;-4,212;5,926
CIV;Côte d'Ivoire;Savanes;CIV.12_1;Bafing;Région;CIV.12.1_1;CI.WB.BF;CI04;240004;Touba;-7,68;8,287
CIV;Côte d'Ivoire;Vallée du Bandama;CIV.10_1;Bagoué;Région;CIV.10.1_1;CI.SV.BG;CI05;428795;Boundiali;-6,477;9,524
CIV;Côte d'Ivoire;Vallée du Bandama;CIV.6_1;Bélier;Région;CIV.6.1_1;CI.LA.BL;CI06;395784;Toumodi;-5,017;6,556
CIV;Côte d'Ivoire;Woroba;CIV.12_1;Béré;Région;CIV.12.2_1;CI.WB.BR;CI07;444849;Mankono;-6,187;8,056
CIV;Côte d'Ivoire;Woroba;CIV.14_1;Bounkani;Région;CIV.14.1_1;CI.ZA.BK;CI08;304940;Bouna;-2,996;9,268
CIV;Côte d'Ivoire;Woroba;CIV.8_1;Cavally;Région;CIV.8.1_1;CI.MN.CV;CI09;524999;Guiglo;-7,499;6,539
CIV;Côte d'Ivoire;Yamoussoukro;CIV.4_1;Folon;Région;CIV.4.1_1;CI.DE.FO;CI10;110040;Minignan;-7,836;9,999
CIV;Côte d'Ivoire;Zanzan;CIV.11_1;Gbeke;Région;CIV.11.1_1;CI.VB.GE;CI11;1177794;Bouaké;-5,05;7,698
CIV;Côte d'Ivoire;Zanzan;CIV.2_1;Gbôkle;Région;CIV.2.1_1;CI.BA.GL;CI12;457458;Sassandra;-6,092;4,952
CIV;Côte d'Ivoire;Bas-Sassandra;CIV.5_1;Gôh;Région;CIV.5.1_1;CI.GD.GH;CI13;999981;Gagnoa;-5,959;6,133
CIV;Côte d'Ivoire;Bas-Sassandra;CIV.14_1;Gontougo;Région;CIV.14.2_1;CI.ZA.GT;CI14;761510;Bondoukou;-2,803;8,039
CIV;Côte d'Ivoire;Bas-Sassandra;CIV.7_1;Grands Ponts;Région;CIV.7.2_1;CI.LN.GP;CI15;406888;Dabou;-4,378;5,32
CIV;Côte d'Ivoire;Comoé;CIV.8_1;Guémon;Région;CIV.8.2_1;CI.MN.GM;CI16;1049357;Duékoué;-7,357;6,737
CIV;Côte d'Ivoire;Comoé;CIV.11_1;Hambol;Région;CIV.11.2_1;CI.VB.HB;CI17;490767;Katiola;-5,105;8,137
CIV;Côte d'Ivoire;Denguélé;CIV.9_1;Haut-Sassandra;Région;CIV.9.1_1;CI.SM.HS;CI18;1633258;Daloa;-6,455;6,876
CIV;Côte d'Ivoire;Denguélé;CIV.6_1;Iffou;Région;CIV.6.2_1;CI.LA.IF;CI19;375912;Daoukro;-3,97;7,058
CIV;Côte d'Ivoire;Gôh-Djiboua;CIV.3_1;Indénié-Djuablin;Région;CIV.3.1_1;CI.CM.ID;CI20;639662;Abengourou;-3,497;6,74
CIV;Côte d'Ivoire;Gôh-Djiboua;CIV.4_1;Kabadougou;Région;CIV.4.2_1;CI.DE.KB;CI21;220701;Odienné;-7,564;9,503
CIV;Côte d'Ivoire;Lacs;CIV.5_1;Lôh-Djiboua;Région;CIV.5.2_1;CI.GD.LD;CI22;832241;Divo;-5,364;5,833
CIV;Côte d'Ivoire;Lacs;CIV.9_1;Marahoué;Région;CIV.9.2_1;CI.SM.MH;CI23;984235;Bouaflé;-5,744;6,987
CIV;Côte d'Ivoire;Lacs;CIV.7_1;La Mé;Région;CIV.7.3_1;CI.LN.ME;CI24;587460;Adzopé;-3,867;6,109
CIV;Côte d'Ivoire;Lacs;CIV.6_1;Moronou;Région;CIV.6.3_1;CI.LA.MN;CI25;378426;Bongouanou;-4,197;6,651
CIV;Côte d'Ivoire;Lagunes;CIV.2_1;Nawa;Région;CIV.2.2_1;CI.BA.NW;CI26;1201952;Soubré;-6,59;5,784
CIV;Côte d'Ivoire;Lagunes;CIV.6_1;N'zi;Région;CIV.6.4_1;CI.LA.NZ;CI27;282583;Dimbokro;-4,707;6,653
CIV;Côte d'Ivoire;Lagunes;CIV.10_1;Poro;Région;CIV.10.2_1;CI.SV.PR;CI28;871809;Korhogo;-5,631;9,462
CIV;Côte d'Ivoire;Montagnes;CIV.2_1;San-Pédro;Région;CIV.2.3_1;CI.BA.SP;CI29;943527;San-Pédro;-6,67;4,756
CIV;Côte d'Ivoire;Montagnes;CIV.3_1;Sud Comoé;Région;CIV.3.2_1;CI.CM.SC;CI30;733460;Aboisso;-3,205;5,469
CIV;Côte d'Ivoire;Montagnes;CIV.10_1;Tchologo;Région;CIV.10.3_1;CI.SV.TL;CI31;529739;Ferkessédougou;-5,194;9,599
CIV;Côte d'Ivoire;Sassandra-Marahoué;CIV.8_1;Tonkpi;Région;CIV.8.3_1;CI.MN.TP;CI32;1108720;Man;-7,548;7,403
CIV;Côte d'Ivoire;Sassandra-Marahoué;CIV.12_1;Worodougou;Région;CIV.12.3_1;CI.WB.WR;CI33;310833;Séguéla;-6,673;7,963
