"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"CIV";"Côte d'Ivoire";"Abidjan";"CIV.1_1";"Abidjan";"CIV.1.1_1";"Abidjan";"Département";"CIV.1.1.1_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Gbôkle";"CIV.2.1_1";"Fresco";"Département";"CIV.2.1.1_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Gbôkle";"CIV.2.1_1";"Sassandra";"Département";"CIV.2.1.2_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Nawa";"CIV.2.2_1";"Buyo";"Département";"CIV.2.2.1_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Nawa";"CIV.2.2_1";"Guéyo";"Département";"CIV.2.2.2_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Nawa";"CIV.2.2_1";"Méagui";"Département";"CIV.2.2.3_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Nawa";"CIV.2.2_1";"Oupoyo";"Département";"CIV.2.2.4_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"Nawa";"CIV.2.2_1";"Soubré";"Département";"CIV.2.2.5_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"San-Pédro";"CIV.2.3_1";"San-Pedro";"Département";"CIV.2.3.1_1";NA
"CIV";"Côte d'Ivoire";"Bas-Sassandra";"CIV.2_1";"San-Pédro";"CIV.2.3_1";"Tabou";"Département";"CIV.2.3.2_1";NA
"CIV";"Côte d'Ivoire";"Comoé";"CIV.3_1";"Indénié-Djuablin";"CIV.3.1_1";"Abengourou";"Département";"CIV.3.1.1_1";NA
"CIV";"Côte d'Ivoire";"Comoé";"CIV.3_1";"Indénié-Djuablin";"CIV.3.1_1";"Agnibilékrou";"Département";"CIV.3.1.2_1";NA
"CIV";"Côte d'Ivoire";"Comoé";"CIV.3_1";"Indénié-Djuablin";"CIV.3.1_1";"Bettié";"Département";"CIV.3.1.3_1";NA
"CIV";"Côte d'Ivoire";"Comoé";"CIV.3_1";"Sud Comoé";"CIV.3.2_1";"Aboisso";"Département";"CIV.3.2.1_1";NA
"CIV";"Côte d'Ivoire";"Comoé";"CIV.3_1";"Sud Comoé";"CIV.3.2_1";"Adiake";"Département";"CIV.3.2.2_1";NA
"CIV";"Côte d'Ivoire";"Comoé";"CIV.3_1";"Sud Comoé";"CIV.3.2_1";"Ayame";"Département";"CIV.3.2.3_1";NA
