"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"FRA";"France";"Auvergne-Rhône-Alpes";"Région";"FRA.1_1";"FR.AR"
"FRA";"France";"Bourgogne-Franche-Comté";"Région";"FRA.2_1";"FR.BF"
"FRA";"France";"Bretagne";"Région";"FRA.3_1";"FR.BT"
"FRA";"France";"Centre-Val de Loire";"Région";"FRA.4_1";"FR.CN"
"FRA";"France";"Corse";"Région";"FRA.5_1";"FR.CE"
"FRA";"France";"Grand Est";"Région";"FRA.6_1";"FR.AO"
"FRA";"France";"Hauts-de-France";"Région";"FRA.7_1";"FR.NC"
"FRA";"France";"Île-de-France";"Région";"FRA.8_1";"FR.IF"
"FRA";"France";"Normandie";"Région";"FRA.9_1";"FR.ND"
"FRA";"France";"Nouvelle-Aquitaine";"Région";"FRA.10_1";"FR.AC"
"FRA";"France";"Occitanie";"Région";"FRA.11_1";"FR.LP"
"FRA";"France";"Pays de la Loire";"Région";"FRA.12_1";"FR.PL"
"FRA";"France";"Provence-Alpes-Côte d'Azur";"Région";"FRA.13_1";"FR.PR"
