"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ain";"Département";"FRA.1.1_1";"FR.AI"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Allier";"Département";"FRA.1.2_1";"FR.AL"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ardèche";"Département";"FRA.1.3_1";"FR.AH"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Cantal";"Département";"FRA.1.4_1";"FR.CL"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Drôme";"Département";"FRA.1.5_1";"FR.DM"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Haute-Loire";"Département";"FRA.1.6_1";"FR.HL"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Haute-Savoie";"Département";"FRA.1.7_1";"FR.HS"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Isère";"Département";"FRA.1.8_1";"FR.IS"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Loire";"Département";"FRA.1.9_1";"FR.LR"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Puy-de-Dôme";"Département";"FRA.1.10_1";"FR.PD"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Rhône";"Département";"FRA.1.11_1";"FR.RH"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Savoie";"Département";"FRA.1.12_1";"FR.SV"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Côte-d'Or";"Département";"FRA.2.1_1";"FR.CO"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Doubs";"Département";"FRA.2.2_1";"FR.DB"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Haute-Saône";"Département";"FRA.2.3_1";"FR.HN"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Jura";"Département";"FRA.2.4_1";"FR.JU"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Nièvre";"Département";"FRA.2.5_1";"FR.NI"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Saône-et-Loire";"Département";"FRA.2.6_1";"FR.SL"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Territoire de Belfort";"Département";"FRA.2.7_1";"FR.TB"
"FRA";"France";"Bourgogne-Franche-Comté";"FRA.2_1";"Yonne";"Département";"FRA.2.8_1";"FR.YO"
"FRA";"France";"Bretagne";"FRA.3_1";"Côtes-d'Armor";"Département";"FRA.3.1_1";"FR.CA"
"FRA";"France";"Bretagne";"FRA.3_1";"Finistère";"Département";"FRA.3.2_1";"FR.FI"
"FRA";"France";"Bretagne";"FRA.3_1";"Ille-et-Vilaine";"Département";"FRA.3.3_1";"FR.IV"
"FRA";"France";"Bretagne";"FRA.3_1";"Morbihan";"Département";"FRA.3.4_1";"FR.MB"
"FRA";"France";"Centre-Val de Loire";"FRA.4_1";"Cher";"Département";"FRA.4.1_1";"FR.CH"
"FRA";"France";"Centre-Val de Loire";"FRA.4_1";"Eure-et-Loir";"Département";"FRA.4.2_1";"FR.EL"
"FRA";"France";"Centre-Val de Loire";"FRA.4_1";"Indre";"Département";"FRA.4.4_1";"FR.IN"
"FRA";"France";"Centre-Val de Loire";"FRA.4_1";"Indre-et-Loire";"Département";"FRA.4.3_1";"FR.IL"
"FRA";"France";"Centre-Val de Loire";"FRA.4_1";"Loir-et-Cher";"Département";"FRA.4.5_1";"FR.LC"
"FRA";"France";"Centre-Val de Loire";"FRA.4_1";"Loiret";"Département";"FRA.4.6_1";"FR.LT"
"FRA";"France";"Corse";"FRA.5_1";"Corse-du-Sud";"Département";"FRA.5.1_1";"FR.CS"
"FRA";"France";"Corse";"FRA.5_1";"Haute-Corse";"Département";"FRA.5.2_1";"FR.HC"
"FRA";"France";"Grand Est";"FRA.6_1";"Ardennes";"Département";"FRA.6.1_1";"FR.AN"
"FRA";"France";"Grand Est";"FRA.6_1";"Aube";"Département";"FRA.6.2_1";"FR.AB"
"FRA";"France";"Grand Est";"FRA.6_1";"Bas-Rhin";"Département";"FRA.6.3_1";"FR.BR"
"FRA";"France";"Grand Est";"FRA.6_1";"Haut-Rhin";"Département";"FRA.6.4_1";"FR.HR"
"FRA";"France";"Grand Est";"FRA.6_1";"Haute-Marne";"Département";"FRA.6.5_1";"FR.HM"
"FRA";"France";"Grand Est";"FRA.6_1";"Marne";"Département";"FRA.6.6_1";"FR.MR"
"FRA";"France";"Grand Est";"FRA.6_1";"Meurthe-et-Moselle";"Département";"FRA.6.7_1";"FR.MM"
"FRA";"France";"Grand Est";"FRA.6_1";"Meuse";"Département";"FRA.6.8_1";"FR.MS"
"FRA";"France";"Grand Est";"FRA.6_1";"Moselle";"Département";"FRA.6.9_1";"FR.MO"
"FRA";"France";"Grand Est";"FRA.6_1";"Vosges";"Département";"FRA.6.10_1";"FR.VG"
"FRA";"France";"Hauts-de-France";"FRA.7_1";"Aisne";"Département";"FRA.7.1_1";"FR.AS"
"FRA";"France";"Hauts-de-France";"FRA.7_1";"Nord";"Département";"FRA.7.2_1";"FR.NO"
"FRA";"France";"Hauts-de-France";"FRA.7_1";"Oise";"Département";"FRA.7.3_1";"FR.OI"
"FRA";"France";"Hauts-de-France";"FRA.7_1";"Pas-de-Calais";"Département";"FRA.7.4_1";"FR.PC"
"FRA";"France";"Hauts-de-France";"FRA.7_1";"Somme";"Département";"FRA.7.5_1";"FR.SO"
"FRA";"France";"Île-de-France";"FRA.8_1";"Essonne";"Département";"FRA.8.1_1";"FR.ES"
"FRA";"France";"Île-de-France";"FRA.8_1";"Hauts-de-Seine";"Département";"FRA.8.2_1";"FR.HD"
"FRA";"France";"Île-de-France";"FRA.8_1";"Paris";"Département";"FRA.8.3_1";"FR.VP"
"FRA";"France";"Île-de-France";"FRA.8_1";"Seine-et-Marne";"Département";"FRA.8.4_1";"FR.SE"
"FRA";"France";"Île-de-France";"FRA.8_1";"Seine-Saint-Denis";"Département";"FRA.8.5_1";"FR.SS"
"FRA";"France";"Île-de-France";"FRA.8_1";"Val-d'Oise";"Département";"FRA.8.6_1";"FR.VO"
"FRA";"France";"Île-de-France";"FRA.8_1";"Val-de-Marne";"Département";"FRA.8.7_1";"FR.VM"
"FRA";"France";"Île-de-France";"FRA.8_1";"Yvelines";"Département";"FRA.8.8_1";"FR.YV"
"FRA";"France";"Normandie";"FRA.9_1";"Calvados";"Département";"FRA.9.1_1";"FR.CV"
"FRA";"France";"Normandie";"FRA.9_1";"Eure";"Département";"FRA.9.2_1";"FR.EU"
"FRA";"France";"Normandie";"FRA.9_1";"Manche";"Département";"FRA.9.3_1";"FR.MH"
"FRA";"France";"Normandie";"FRA.9_1";"Orne";"Département";"FRA.9.4_1";"FR.OR"
"FRA";"France";"Normandie";"FRA.9_1";"Seine-Maritime";"Département";"FRA.9.5_1";"FR.SM"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Charente";"Département";"FRA.10.2_1";"FR.CT"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Charente-Maritime";"Département";"FRA.10.1_1";"FR.CM"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Corrèze";"Département";"FRA.10.3_1";"FR.CZ"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Creuse";"Département";"FRA.10.4_1";"FR.CR"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Deux-Sèvres";"Département";"FRA.10.5_1";"FR.DS"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Dordogne";"Département";"FRA.10.6_1";"FR.DD"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Gironde";"Département";"FRA.10.7_1";"FR.GI"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Haute-Vienne";"Département";"FRA.10.8_1";"FR.HV"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Landes";"Département";"FRA.10.9_1";"FR.LD"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Lot-et-Garonne";"Département";"FRA.10.10_1";"FR.LG"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Pyrénées-Atlantiques";"Département";"FRA.10.11_1";"FR.PA"
"FRA";"France";"Nouvelle-Aquitaine";"FRA.10_1";"Vienne";"Département";"FRA.10.12_1";"FR.VN"
"FRA";"France";"Occitanie";"FRA.11_1";"Ariège";"Département";"FRA.11.1_1";"FR.AG"
"FRA";"France";"Occitanie";"FRA.11_1";"Aude";"Département";"FRA.11.2_1";"FR.AD"
"FRA";"France";"Occitanie";"FRA.11_1";"Aveyron";"Département";"FRA.11.3_1";"FR.AV"
"FRA";"France";"Occitanie";"FRA.11_1";"Gard";"Département";"FRA.11.4_1";"FR.GA"
"FRA";"France";"Occitanie";"FRA.11_1";"Gers";"Département";"FRA.11.5_1";"FR.GE"
"FRA";"France";"Occitanie";"FRA.11_1";"Haute-Garonne";"Département";"FRA.11.6_1";"FR.HG"
"FRA";"France";"Occitanie";"FRA.11_1";"Hautes-Pyrénées";"Département";"FRA.11.7_1";"FR.HP"
"FRA";"France";"Occitanie";"FRA.11_1";"Hérault";"Département";"FRA.11.8_1";"FR.HE"
"FRA";"France";"Occitanie";"FRA.11_1";"Lot";"Département";"FRA.11.9_1";"FR.LO"
"FRA";"France";"Occitanie";"FRA.11_1";"Lozère";"Département";"FRA.11.10_1";"FR.LZ"
"FRA";"France";"Occitanie";"FRA.11_1";"Pyrénées-Orientales";"Département";"FRA.11.11_1";"FR.PO"
"FRA";"France";"Occitanie";"FRA.11_1";"Tarn";"Département";"FRA.11.13_1";"FR.TA"
"FRA";"France";"Occitanie";"FRA.11_1";"Tarn-et-Garonne";"Département";"FRA.11.12_1";"FR.TG"
"FRA";"France";"Pays de la Loire";"FRA.12_1";"Loire-Atlantique";"Département";"FRA.12.1_1";"FR.LA"
"FRA";"France";"Pays de la Loire";"FRA.12_1";"Maine-et-Loire";"Département";"FRA.12.2_1";"FR.ML"
"FRA";"France";"Pays de la Loire";"FRA.12_1";"Mayenne";"Département";"FRA.12.3_1";"FR.MY"
