"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ain";"FRA.1.1_1";"Belley";"Arrondissement";"FRA.1.1.1_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ain";"FRA.1.1_1";"Bourg-en-Bresse";"Arrondissement";"FRA.1.1.2_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ain";"FRA.1.1_1";"Gex";"Arrondissement";"FRA.1.1.3_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ain";"FRA.1.1_1";"Nantua";"Arrondissement";"FRA.1.1.4_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Allier";"FRA.1.2_1";"Montluçon";"Arrondissement";"FRA.1.2.1_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Allier";"FRA.1.2_1";"Moulins";"Arrondissement";"FRA.1.2.2_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Allier";"FRA.1.2_1";"Vichy";"Arrondissement";"FRA.1.2.3_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ardèche";"FRA.1.3_1";"Largentière";"Arrondissement";"FRA.1.3.1_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ardèche";"FRA.1.3_1";"Privas";"Arrondissement";"FRA.1.3.2_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Ardèche";"FRA.1.3_1";"Tournon-sur-Rhône";"Arrondissement";"FRA.1.3.3_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Cantal";"FRA.1.4_1";"Aurillac";"Arrondissement";"FRA.1.4.1_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Cantal";"FRA.1.4_1";"Mauriac";"Arrondissement";"FRA.1.4.2_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Cantal";"FRA.1.4_1";"Saint-Flour";"Arrondissement";"FRA.1.4.3_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Drôme";"FRA.1.5_1";"Die";"Arrondissement";"FRA.1.5.1_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Drôme";"FRA.1.5_1";"Nyons";"Arrondissement";"FRA.1.5.2_1";NA
"FRA";"France";"Auvergne-Rhône-Alpes";"FRA.1_1";"Drôme";"FRA.1.5_1";"Valence";"Arrondissement";"FRA.1.5.3_1";NA
