"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"MLI";"Mali";"Bamako";"MLI.1_1";"Bamako";"Cercle";"MLI.1.1_1";"ML.BA.BM"
"MLI";"Mali";"Gao";"MLI.2_1";"Ansongo";"Cercle";"MLI.2.1_1";"ML.GA.AN"
"MLI";"Mali";"Gao";"MLI.2_1";"Bourem";"Cercle";"MLI.2.2_1";"ML.GA.BO"
"MLI";"Mali";"Gao";"MLI.2_1";"Gao";"Cercle";"MLI.2.3_1";"ML.GA.GA"
"MLI";"Mali";"Gao";"MLI.2_1";"Ménaka";"Cercle";"MLI.2.4_1";"ML.GA.MN"
"MLI";"Mali";"Kayes";"MLI.3_1";"Bafoulabé";"Cercle";"MLI.3.1_1";"ML.KY.BF"
"MLI";"Mali";"Kayes";"MLI.3_1";"Diéma";"Cercle";"MLI.3.2_1";"ML.KY.DM"
"MLI";"Mali";"Kayes";"MLI.3_1";"Kayes";"Cercle";"MLI.3.3_1";"ML.KY.KY"
"MLI";"Mali";"Kayes";"MLI.3_1";"Kéniéba";"Cercle";"MLI.3.4_1";"ML.KY.KN"
"MLI";"Mali";"Kayes";"MLI.3_1";"Kita";"Cercle";"MLI.3.5_1";"ML.KY.KI"
"MLI";"Mali";"Kayes";"MLI.3_1";"Nioro";"Cercle";"MLI.3.6_1";"ML.KY.NR"
"MLI";"Mali";"Kayes";"MLI.3_1";"Yélimané";"Cercle";"MLI.3.7_1";"ML.KY.YL"
"MLI";"Mali";"Kidal";"MLI.4_1";"Abeïbara";"Cercle";"MLI.4.1_1";"ML.KD.AB"
"MLI";"Mali";"Kidal";"MLI.4_1";"Kidal";"Cercle";"MLI.4.2_1";"ML.KD.KL"
"MLI";"Mali";"Kidal";"MLI.4_1";"Tessalit";"Cercle";"MLI.4.3_1";"ML.KD.TS"
"MLI";"Mali";"Kidal";"MLI.4_1";"Tin-Essako";"Cercle";"MLI.4.4_1";"ML.KD.TE"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Banamba";"Cercle";"MLI.5.1_1";"ML.KK.BB"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Dioïla";"Cercle";"MLI.5.2_1";"ML.KK.DL"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Kangaba";"Cercle";"MLI.5.3_1";"ML.KK.KG"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Kati";"Cercle";"MLI.5.4_1";"ML.KK.KT"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Kolokani";"Cercle";"MLI.5.5_1";"ML.KK.KO"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Koulikoro";"Cercle";"MLI.5.6_1";"ML.KK.KK"
"MLI";"Mali";"Koulikoro";"MLI.5_1";"Nara";"Cercle";"MLI.5.7_1";"ML.KK.NA"
"MLI";"Mali";"Mopti";"MLI.6_1";"Bandiagara";"Cercle";"MLI.6.1_1";"ML.MO.BD"
"MLI";"Mali";"Mopti";"MLI.6_1";"Bankass";"Cercle";"MLI.6.2_1";"ML.MO.BK"
"MLI";"Mali";"Mopti";"MLI.6_1";"Djenné";"Cercle";"MLI.6.3_1";"ML.MO.DJ"
"MLI";"Mali";"Mopti";"MLI.6_1";"Douentza";"Cercle";"MLI.6.4_1";"ML.MO.DZ"
"MLI";"Mali";"Mopti";"MLI.6_1";"Koro";"Cercle";"MLI.6.5_1";"ML.MO.KR"
"MLI";"Mali";"Mopti";"MLI.6_1";"Mopti";"Cercle";"MLI.6.6_1";"ML.MO.MP"
"MLI";"Mali";"Mopti";"MLI.6_1";"Ténenkou";"Cercle";"MLI.6.7_1";"ML.MO.TN"
"MLI";"Mali";"Mopti";"MLI.6_1";"Youwarou";"Cercle";"MLI.6.8_1";"ML.MO.YW"
"MLI";"Mali";"Ségou";"MLI.7_1";"Barouéli";"Cercle";"MLI.7.1_1";"ML.SG.BR"
"MLI";"Mali";"Ségou";"MLI.7_1";"Bla";"Cercle";"MLI.7.2_1";"ML.SG.BL"
"MLI";"Mali";"Ségou";"MLI.7_1";"Macina";"Cercle";"MLI.7.3_1";"ML.SG.MC"
"MLI";"Mali";"Ségou";"MLI.7_1";"Niono";"Cercle";"MLI.7.4_1";"ML.SG.NN"
"MLI";"Mali";"Ségou";"MLI.7_1";"San";"Cercle";"MLI.7.5_1";"ML.SG.SN"
"MLI";"Mali";"Ségou";"MLI.7_1";"Ségou";"Cercle";"MLI.7.6_1";"ML.SG.SG"
"MLI";"Mali";"Ségou";"MLI.7_1";"Tominian";"Cercle";"MLI.7.7_1";"ML.SG.TM"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Bougouni";"Cercle";"MLI.8.1_1";"ML.SK.BG"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Kadiolo";"Cercle";"MLI.8.2_1";"ML.SK.KD"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Kolondiéba";"Cercle";"MLI.8.3_1";"ML.SK.KB"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Koutiala";"Cercle";"MLI.8.4_1";"ML.SK.KU"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Sikasso";"Cercle";"MLI.8.5_1";"ML.SK.SK"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Yanfolila";"Cercle";"MLI.8.6_1";"ML.SK.YF"
"MLI";"Mali";"Sikasso";"MLI.8_1";"Yorosso";"Cercle";"MLI.8.7_1";"ML.SK.YR"
"MLI";"Mali";"Timbuktu";"MLI.9_1";"Diré";"Cercle";"MLI.9.1_1";"ML.TB.DR"
"MLI";"Mali";"Timbuktu";"MLI.9_1";"Goundam";"Cercle";"MLI.9.2_1";"ML.TB.GD"
"MLI";"Mali";"Timbuktu";"MLI.9_1";"Gourma-Rharous";"Cercle";"MLI.9.3_1";"ML.TB.GR"
"MLI";"Mali";"Timbuktu";"MLI.9_1";"Niafunké";"Cercle";"MLI.9.4_1";"ML.TB.NF"
"MLI";"Mali";"Timbuktu";"MLI.9_1";"Tombouctou";"Cercle";"MLI.9.5_1";"ML.TB.TB"
