"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"MLI";"Mali";"Bamako";"MLI.1_1";"Bamako";"MLI.1.1_1";"Kalban-Coro";"Arrondissement";"MLI.1.1.1_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Ansongo";"MLI.2.1_1";"Ansongo";"Arrondissement";"MLI.2.1.1_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Ansongo";"MLI.2.1_1";"Ouatagouna";"Arrondissement";"MLI.2.1.2_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Ansongo";"MLI.2.1_1";"Talataye";"Arrondissement";"MLI.2.1.3_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Ansongo";"MLI.2.1_1";"Tessit";"Arrondissement";"MLI.2.1.4_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Bourem";"MLI.2.2_1";"Almoustarat";"Arrondissement";"MLI.2.2.1_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Bourem";"MLI.2.2_1";"Bamba";"Arrondissement";"MLI.2.2.2_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Bourem";"MLI.2.2_1";"Bourem";"Arrondissement";"MLI.2.2.3_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Bourem";"MLI.2.2_1";"Temera";"Arrondissement";"MLI.2.2.4_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Gao";"MLI.2.3_1";"Djebock";"Arrondissement";"MLI.2.3.1_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Gao";"MLI.2.3_1";"Gao";"Arrondissement";"MLI.2.3.3_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Gao";"MLI.2.3_1";"Gao-Central";"Arrondissement";"MLI.2.3.2_1";NA
"MLI";"Mali";"Gao";"MLI.2_1";"Gao";"MLI.2.3_1";"Haoussa-Foulane";"Arrondissement";"MLI.2.3.4_1";NA
