"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"NER";"Niger";"Agadez";"NER.1_1";"Arlit";"Arrondissement";"NER.1.1_1";"NE.AG.AR"
"NER";"Niger";"Agadez";"NER.1_1";"Bilma";"Arrondissement";"NER.1.2_1";"NE.AG.BL"
"NER";"Niger";"Agadez";"NER.1_1";"Tchighozerine";"Arrondissement";"NER.1.3_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"Diffa";"Arrondissement";"NER.2.1_1";"NE.DF.DF"
"NER";"Niger";"Diffa";"NER.2_1";"Maïné-Soroa";"Arrondissement";"NER.2.2_1";"NE.DF.MS"
"NER";"Niger";"Diffa";"NER.2_1";"N'Guigmi";"Arrondissement";"NER.2.3_1";"NE.DF.NG"
"NER";"Niger";"Dosso";"NER.3_1";"Boboye";"Arrondissement";"NER.3.1_1";"NE.DS.BG"
"NER";"Niger";"Dosso";"NER.3_1";"Dogon-Doutchi";"Arrondissement";"NER.3.2_1";"NE.DS.DD"
"NER";"Niger";"Dosso";"NER.3_1";"Dosso";"Arrondissement";"NER.3.3_1";"NE.DS.DS"
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"Arrondissement";"NER.3.4_1";"NE.DS.GA"
"NER";"Niger";"Dosso";"NER.3_1";"Loga";"Arrondissement";"NER.3.5_1";"NE.DS.LO"
"NER";"Niger";"Maradi";"NER.4_1";"Aguié";"Arrondissement";"NER.4.1_1";"NE.MA.AG"
"NER";"Niger";"Maradi";"NER.4_1";"Dakoro";"Arrondissement";"NER.4.2_1";"NE.MA.DK"
"NER";"Niger";"Maradi";"NER.4_1";"Groumdji";"Arrondissement";"NER.4.3_1";"NE.MA.GR"
"NER";"Niger";"Maradi";"NER.4_1";"Madarounfa";"Arrondissement";"NER.4.4_1";"NE.MA.MF"
"NER";"Niger";"Maradi";"NER.4_1";"Mayahi";"Arrondissement";"NER.4.5_1";"NE.MA.MY"
"NER";"Niger";"Maradi";"NER.4_1";"Tessaoua";"Arrondissement";"NER.4.6_1";"NE.MA.TS"
"NER";"Niger";"Niamey";"NER.5_1";"Niamey";"Arrondissement";"NER.5.1_1";NA
"NER";"Niger";"Tahoua";"NER.6_1";"Bkonni";"Arrondissement";"NER.6.1_1";"NE.TH.BK"
"NER";"Niger";"Tahoua";"NER.6_1";"Bouza";"Arrondissement";"NER.6.2_1";"NE.TH.BZ"
"NER";"Niger";"Tahoua";"NER.6_1";"Illéla";"Arrondissement";"NER.6.3_1";"NE.TH.IL"
"NER";"Niger";"Tahoua";"NER.6_1";"Keita";"Arrondissement";"NER.6.4_1";"NE.TH.KE"
"NER";"Niger";"Tahoua";"NER.6_1";"Madaoua";"Arrondissement";"NER.6.5_1";"NE.TH.MD"
"NER";"Niger";"Tahoua";"NER.6_1";"Tahoua";"Arrondissement";"NER.6.6_1";"NE.TH.TH"
"NER";"Niger";"Tahoua";"NER.6_1";"Tchin-Tabarade";"Arrondissement";"NER.6.7_1";"NE.TH.TT"
"NER";"Niger";"Tillabéry";"NER.7_1";"Filingué";"Arrondissement";"NER.7.1_1";"NE.TL.FI"
"NER";"Niger";"Tillabéry";"NER.7_1";"Kollo";"Arrondissement";"NER.7.2_1";NA
"NER";"Niger";"Tillabéry";"NER.7_1";"Ouallam";"Arrondissement";"NER.7.3_1";"NE.TL.OU"
"NER";"Niger";"Tillabéry";"NER.7_1";"Say";"Arrondissement";"NER.7.4_1";"NE.TL.SA"
"NER";"Niger";"Tillabéry";"NER.7_1";"Téra";"Arrondissement";"NER.7.5_1";"NE.TL.TR"
"NER";"Niger";"Tillabéry";"NER.7_1";"Tillabéry";"Arrondissement";"NER.7.6_1";"NE.TL.TL"
"NER";"Niger";"Zinder";"NER.8_1";"Gouré";"Arrondissement";"NER.8.1_1";"NE.ZI.GO"
"NER";"Niger";"Zinder";"NER.8_1";"Magaria";"Arrondissement";"NER.8.2_1";"NE.ZI.MG"
"NER";"Niger";"Zinder";"NER.8_1";"Matameye";"Arrondissement";"NER.8.3_1";"NE.ZI.MT"
"NER";"Niger";"Zinder";"NER.8_1";"Mirriah";"Arrondissement";"NER.8.4_1";"NE.ZI.MR"
"NER";"Niger";"Zinder";"NER.8_1";"Tanout";"Arrondissement";"NER.8.5_1";"NE.ZI.TN"
