"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"NER";"Niger";"Agadez";"NER.1_1";"Arlit";"NER.1.1_1";"ZR Arlit";"Commune";"NER.1.1.1_1";NA
"NER";"Niger";"Agadez";"NER.1_1";"Bilma";"NER.1.2_1";"Bilma";"Commune";"NER.1.2.1_1";NA
"NER";"Niger";"Agadez";"NER.1_1";"Bilma";"NER.1.2_1";"Kawar";"Commune";"NER.1.2.2_1";NA
"NER";"Niger";"Agadez";"NER.1_1";"Tchighozerine";"NER.1.3_1";"ZR Tchirozerine";"Commune";"NER.1.3.1_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"Diffa";"NER.2.1_1";"Bosso";"Commune";"NER.2.1.1_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"Diffa";"NER.2.1_1";"Diffa";"Commune";"NER.2.1.2_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"Diffa";"NER.2.1_1";"Komadougou";"Commune";"NER.2.1.3_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"Maïné-Soroa";"NER.2.2_1";"Goudoumaria";"Commune";"NER.2.2.1_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"Maïné-Soroa";"NER.2.2_1";"Maine Soroa";"Commune";"NER.2.2.2_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"N'Guigmi";"NER.2.3_1";"N' Guigmi";"Commune";"NER.2.3.1_1";NA
"NER";"Niger";"Diffa";"NER.2_1";"N'Guigmi";"NER.2.3_1";"ZR N' Guigmi";"Commune";"NER.2.3.2_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Boboye";"NER.3.1_1";"Birni Ngaoure";"Commune";"NER.3.1.1_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Boboye";"NER.3.1_1";"Kiota";"Commune";"NER.3.1.2_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Boboye";"NER.3.1_1";"Koygolo";"Commune";"NER.3.1.3_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Dogon-Doutchi";"NER.3.2_1";"Dogondoutchi";"Commune";"NER.3.2.1_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Dogon-Doutchi";"NER.3.2_1";"Takassaba";"Commune";"NER.3.2.2_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Dogon-Doutchi";"NER.3.2_1";"Tchibiri";"Commune";"NER.3.2.3_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Dosso";"NER.3.3_1";"Dosso";"Commune";"NER.3.3.1_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"NER.3.4_1";"Bana";"Commune";"NER.3.4.1_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"NER.3.4_1";"Dioundou";"Commune";"NER.3.4.2_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"NER.3.4_1";"Gaya";"Commune";"NER.3.4.3_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"NER.3.4_1";"Karakara";"Commune";"NER.3.4.4_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"NER.3.4_1";"Yelou";"Commune";"NER.3.4.5_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Gaya";"NER.3.4_1";"Zaboki";"Commune";"NER.3.4.6_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Loga";"NER.3.5_1";"Falwel";"Commune";"NER.3.5.1_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Loga";"NER.3.5_1";"Goubey";"Commune";"NER.3.5.2_1";NA
"NER";"Niger";"Dosso";"NER.3_1";"Loga";"NER.3.5_1";"Sokorbe";"Commune";"NER.3.5.3_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Aguié";"NER.4.1_1";"Aguie";"Commune";"NER.4.1.1_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Aguié";"NER.4.1_1";"Gangara";"Commune";"NER.4.1.2_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Dakoro";"NER.4.2_1";"Balder Goula";"Commune";"NER.4.2.1_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Dakoro";"NER.4.2_1";"Birni N' Lalle";"Commune";"NER.4.2.2_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Dakoro";"NER.4.2_1";"Kornaka";"Commune";"NER.4.2.3_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Dakoro";"NER.4.2_1";"Tagris Soli";"Commune";"NER.4.2.4_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Dakoro";"NER.4.2_1";"ZR Dakoro";"Commune";"NER.4.2.5_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Groumdji";"NER.4.3_1";"Chadakori";"Commune";"NER.4.3.1_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Groumdji";"NER.4.3_1";"Guidan Roumdji";"Commune";"NER.4.3.2_1";NA
"NER";"Niger";"Maradi";"NER.4_1";"Groumdji";"NER.4.3_1";"Guidan Sori";"Commune";"NER.4.3.3_1";NA
