GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2021
SEN;Senegal;Dakar;Région;SEN.1_1;SN.DK;SN01;3938362
SEN;Senegal;Diourbel;Région;SEN.2_1;SN.DB;SN02;1919118
SEN;Senegal;Fatick;Région;SEN.3_1;SN.FK;SN03;932629
SEN;Senegal;Kaffrine;Région;SEN.4_1;SN.KF;SN04;755173
SEN;Senegal;Kaolack;Région;SEN.5_1;SN.KC;SN05;1228746
SEN;Senegal;Kédougou;Région;SEN.6_1;SN.KG;SN06;196993
SEN;Senegal;Kolda;Région;SEN.7_1;SN.KD;SN07;848347
SEN;Senegal;Louga;Région;SEN.8_1;SN.LG;SN08;1091268
SEN;Senegal;Matam;Région;SEN.9_1;SN.MT;SN09;760591
SEN;Senegal;Saint-Louis;Région;SEN.10_1;SN.ST;SN10;1120585
SEN;Senegal;Sédhiou;Région;SEN.11_1;SN.SD;SN11;591969
SEN;Senegal;Tambacounda;Région;SEN.12_1;SN.TB;SN12;904028
SEN;Senegal;Thiès;Région;SEN.13_1;SN.TH;SN13;2221093
SEN;Senegal;Ziguinchor;Région;SEN.14_1;SN.ZG;SN14;706551
