GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2021;CTR;CTR_LON;CTR_LAT;IPUMS_1
SEN;Senegal;Dakar;Région;SEN.1_1;SN.DK;SN01;3938362;Dakar;-17,437332;14,669444;686001
SEN;Senegal;Diourbel;Région;SEN.2_1;SN.DB;SN02;1919118;Diourbel;-16,23082;14,656646;686003
SEN;Senegal;Fatick;Région;SEN.3_1;SN.FK;SN03;932629;Fatick;-16,417779;14,345305;686006
SEN;Senegal;Kaffrine;Région;SEN.4_1;SN.KF;SN04;755173;Kaffrine;-15,550662;14,098233;686006
SEN;Senegal;Kaolack;Région;SEN.5_1;SN.KC;SN05;1228746;Kaolack;-16,076171;14,138608;686006
SEN;Senegal;Kédougou;Région;SEN.6_1;SN.KG;SN06;196993;Kédougou;-12,18065;12,555893;686005
SEN;Senegal;Kolda;Région;SEN.7_1;SN.KD;SN07;848347;Kolda;-14,940198;12,892269;686010
SEN;Senegal;Louga;Région;SEN.8_1;SN.LG;SN08;1091268;Louga;-16,224984;15,624205;686004
SEN;Senegal;Matam;Région;SEN.9_1;SN.MT;SN09;760591;Matam;-13,255434;15,659506;686004
SEN;Senegal;Saint-Louis;Région;SEN.10_1;SN.ST;SN10;1120585;Saint-Louis;-16,491629;16,02274;686004
SEN;Senegal;Sédhiou;Région;SEN.11_1;SN.SD;SN11;591969;Sédhiou;-15,558593;12,71252;686010
SEN;Senegal;Tambacounda;Région;SEN.12_1;SN.TB;SN12;904028;Tambacounda;-13,669754;13,775262;686005
SEN;Senegal;Thiès;Région;SEN.13_1;SN.TH;SN13;2221093;Thiès;-16,925627;14,790824;686007
SEN;Senegal;Ziguinchor;Région;SEN.14_1;SN.ZG;SN14;706551;Ziguinchor;-16,264156;12,581186;686002
