"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"SEN";"Senegal";"Dakar";"SEN.1_1";"Dakar";"Département";"SEN.1.1_1";"SN.DK.DK"
"SEN";"Senegal";"Dakar";"SEN.1_1";"Guédiawaye";"Département";"SEN.1.2_1";"SN.DK.GD"
"SEN";"Senegal";"Dakar";"SEN.1_1";"Pikine";"Département";"SEN.1.3_1";"SN.DK.PK"
"SEN";"Senegal";"Dakar";"SEN.1_1";"Rufisque";"Département";"SEN.1.4_1";"SN.DK.RF"
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Bambey";"Département";"SEN.2.1_1";"SN.DB.BB"
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Diourbel";"Département";"SEN.2.2_1";"SN.DB.DB"
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Mbacké";"Département";"SEN.2.3_1";"SN.DB.MK"
"SEN";"Senegal";"Fatick";"SEN.3_1";"Fatick";"Département";"SEN.3.1_1";"SN.FK.FK"
"SEN";"Senegal";"Fatick";"SEN.3_1";"Foundiougne";"Département";"SEN.3.2_1";"SN.FK.FD"
"SEN";"Senegal";"Fatick";"SEN.3_1";"Gossas";"Département";"SEN.3.3_1";"SN.FK.GS"
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Birkilane";"Département";"SEN.4.1_1";"SN.KF.BR"
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Kaffrine";"Département";"SEN.4.2_1";"SN.KF.KF"
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Koungheul";"Département";"SEN.4.3_1";"SN.KC.KU"
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Malème Hodar";"Département";"SEN.4.4_1";"SN.KF.MH"
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Guinguinéo";"Département";"SEN.5.1_1";"SN.KC.GG"
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Kaolack";"Département";"SEN.5.2_1";"SN.KC.KL"
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Nioro du Rip";"Département";"SEN.5.3_1";"SN.KC.NR"
"SEN";"Senegal";"Kédougou";"SEN.6_1";"Kédougou";"Département";"SEN.6.1_1";"SN.KG.KG"
"SEN";"Senegal";"Kédougou";"SEN.6_1";"Salémata";"Département";"SEN.6.2_1";"SN.KG.SM"
"SEN";"Senegal";"Kédougou";"SEN.6_1";"Saraya";"Département";"SEN.6.3_1";"SN.KG.SY"
"SEN";"Senegal";"Kolda";"SEN.7_1";"Kolda";"Département";"SEN.7.1_1";"SN.KO.KD"
"SEN";"Senegal";"Kolda";"SEN.7_1";"Médina Yoro Foula";"Département";"SEN.7.2_1";"SN.KO.YF"
"SEN";"Senegal";"Kolda";"SEN.7_1";"Vélingara";"Département";"SEN.7.3_1";"SN.KO.VL"
"SEN";"Senegal";"Louga";"SEN.8_1";"Kébémer";"Département";"SEN.8.1_1";"SN.LG.KB"
"SEN";"Senegal";"Louga";"SEN.8_1";"Linguère";"Département";"SEN.8.2_1";"SN.LG.LN"
"SEN";"Senegal";"Louga";"SEN.8_1";"Louga";"Département";"SEN.8.3_1";"SN.LG.LG"
"SEN";"Senegal";"Matam";"SEN.9_1";"Kanel";"Département";"SEN.9.1_1";"SN.MT.KN"
"SEN";"Senegal";"Matam";"SEN.9_1";"Matam";"Département";"SEN.9.2_1";"SN.MT.MT"
"SEN";"Senegal";"Matam";"SEN.9_1";"Ranérou Ferlo";"Département";"SEN.9.3_1";"SN.MT.RN"
"SEN";"Senegal";"Saint-Louis";"SEN.10_1";"Dagana";"Département";"SEN.10.1_1";"SN.ST.DG"
"SEN";"Senegal";"Saint-Louis";"SEN.10_1";"Podor";"Département";"SEN.10.2_1";"SN.ST.PD"
"SEN";"Senegal";"Saint-Louis";"SEN.10_1";"Saint-Louis";"Département";"SEN.10.3_1";"SN.ST.SL"
"SEN";"Senegal";"Sédhiou";"SEN.11_1";"Bounkiling";"Département";"SEN.11.1_1";"SN.SD.BL"
"SEN";"Senegal";"Sédhiou";"SEN.11_1";"Goudomp";"Département";"SEN.11.2_1";"SN.SD.GP"
"SEN";"Senegal";"Sédhiou";"SEN.11_1";"Sédhiou";"Département";"SEN.11.3_1";"SN.SD.SD"
"SEN";"Senegal";"Tambacounda";"SEN.12_1";"Bakel";"Département";"SEN.12.1_1";"SN.TB.BK"
"SEN";"Senegal";"Tambacounda";"SEN.12_1";"Goudiry";"Département";"SEN.12.2_1";"SN.TB.GY"
"SEN";"Senegal";"Tambacounda";"SEN.12_1";"Koupentoum";"Département";"SEN.12.3_1";"SN.TB.KP"
"SEN";"Senegal";"Tambacounda";"SEN.12_1";"Tambacounda";"Département";"SEN.12.4_1";"SN.TB.TC"
"SEN";"Senegal";"Thiès";"SEN.13_1";"Mbour";"Département";"SEN.13.1_1";"SN.TH.MR"
"SEN";"Senegal";"Thiès";"SEN.13_1";"Thiès";"Département";"SEN.13.2_1";"SN.TH.TH"
"SEN";"Senegal";"Thiès";"SEN.13_1";"Tivaouane";"Département";"SEN.13.3_1";"SN.TH.TV"
"SEN";"Senegal";"Ziguinchor";"SEN.14_1";"Bignona";"Département";"SEN.14.1_1";"SN.ZG.BG"
"SEN";"Senegal";"Ziguinchor";"SEN.14_1";"Oussouye";"Département";"SEN.14.2_1";"SN.ZG.OU"
"SEN";"Senegal";"Ziguinchor";"SEN.14_1";"Ziguinchor";"Département";"SEN.14.3_1";"SN.ZG.ZG"
