"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"SEN";"Senegal";"Dakar";"SEN.1_1";"Dakar";"SEN.1.1_1";"Almadies";"Arrondissment";"SEN.1.1.1_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Dakar";"SEN.1.1_1";"Dakar Plateau";"Arrondissment";"SEN.1.1.2_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Dakar";"SEN.1.1_1";"Grand Dakar";"Arrondissment";"SEN.1.1.3_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Dakar";"SEN.1.1_1";"Parcelles Assainies";"Arrondissment";"SEN.1.1.4_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Guédiawaye";"SEN.1.2_1";"Guediawaye";"Arrondissment";"SEN.1.2.1_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Pikine";"SEN.1.3_1";"Niayes";"Arrondissment";"SEN.1.3.1_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Pikine";"SEN.1.3_1";"Pikine Dagoudane";"Arrondissment";"SEN.1.3.2_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Pikine";"SEN.1.3_1";"Thiaroye";"Arrondissment";"SEN.1.3.3_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Rufisque";"SEN.1.4_1";"Bambilor";"Arrondissment";"SEN.1.4.1_1";NA
"SEN";"Senegal";"Dakar";"SEN.1_1";"Rufisque";"SEN.1.4_1";"Rufisque";"Arrondissment";"SEN.1.4.2_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Bambey";"SEN.2.1_1";"Baba Garage";"Arrondissment";"SEN.2.1.1_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Bambey";"SEN.2.1_1";"Lambaye";"Arrondissment";"SEN.2.1.2_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Bambey";"SEN.2.1_1";"Ngoye";"Arrondissment";"SEN.2.1.3_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Diourbel";"SEN.2.2_1";"Ndindy";"Arrondissment";"SEN.2.2.1_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Diourbel";"SEN.2.2_1";"Ndoulo";"Arrondissment";"SEN.2.2.2_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Mbacké";"SEN.2.3_1";"Kael";"Arrondissment";"SEN.2.3.1_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Mbacké";"SEN.2.3_1";"Ndame";"Arrondissment";"SEN.2.3.2_1";NA
"SEN";"Senegal";"Diourbel";"SEN.2_1";"Mbacké";"SEN.2.3_1";"Taif";"Arrondissment";"SEN.2.3.3_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Fatick";"SEN.3.1_1";"Fimela";"Arrondissment";"SEN.3.1.1_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Fatick";"SEN.3.1_1";"Ndiob";"Arrondissment";"SEN.3.1.2_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Fatick";"SEN.3.1_1";"Niakhar";"Arrondissment";"SEN.3.1.3_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Fatick";"SEN.3.1_1";"Tattaguine";"Arrondissment";"SEN.3.1.4_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Foundiougne";"SEN.3.2_1";"Djilor";"Arrondissment";"SEN.3.2.1_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Foundiougne";"SEN.3.2_1";"Niodior";"Arrondissment";"SEN.3.2.2_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Foundiougne";"SEN.3.2_1";"Toubacouta";"Arrondissment";"SEN.3.2.3_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Gossas";"SEN.3.3_1";"Colobane";"Arrondissment";"SEN.3.3.1_1";NA
"SEN";"Senegal";"Fatick";"SEN.3_1";"Gossas";"SEN.3.3_1";"Ouadiour";"Arrondissment";"SEN.3.3.2_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Birkilane";"SEN.4.1_1";"Keur Mboucki";"Arrondissment";"SEN.4.1.1_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Birkilane";"SEN.4.1_1";"Mabo";"Arrondissment";"SEN.4.1.2_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Kaffrine";"SEN.4.2_1";"Gniby";"Arrondissment";"SEN.4.2.1_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Kaffrine";"SEN.4.2_1";"Katakel";"Arrondissment";"SEN.4.2.2_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Koungheul";"SEN.4.3_1";"Ida Mouride";"Arrondissment";"SEN.4.3.1_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Koungheul";"SEN.4.3_1";"Lour Escale";"Arrondissment";"SEN.4.3.2_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Koungheul";"SEN.4.3_1";"Missirah Wadene";"Arrondissment";"SEN.4.3.3_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Malème Hodar";"SEN.4.4_1";"Darou Miname Ii";"Arrondissment";"SEN.4.4.1_1";NA
"SEN";"Senegal";"Kaffrine";"SEN.4_1";"Malème Hodar";"SEN.4.4_1";"Sagna";"Arrondissment";"SEN.4.4.2_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Guinguinéo";"SEN.5.1_1";"Mbadakhoune";"Arrondissment";"SEN.5.1.1_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Guinguinéo";"SEN.5.1_1";"Nguelou";"Arrondissment";"SEN.5.1.2_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Kaolack";"SEN.5.2_1";"Koumbal";"Arrondissment";"SEN.5.2.1_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Kaolack";"SEN.5.2_1";"Ndiedieng";"Arrondissment";"SEN.5.2.2_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Kaolack";"SEN.5.2_1";"Ngothie";"Arrondissment";"SEN.5.2.3_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Nioro du Rip";"SEN.5.3_1";"Medina Sabakh";"Arrondissment";"SEN.5.3.1_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Nioro du Rip";"SEN.5.3_1";"Paos Koto";"Arrondissment";"SEN.5.3.2_1";NA
"SEN";"Senegal";"Kaolack";"SEN.5_1";"Nioro du Rip";"SEN.5.3_1";"Wack Ngouna";"Arrondissment";"SEN.5.3.3_1";NA
