"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"TYPE_2";"GID_2";"HASC_2"
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"Préfecture";"TGO.1.1_2";"TG.CE.BL"
"TGO";"Togo";"Centre";"TGO.1_1";"Mô";"Sous-Préfecture";"TGO.1.2_2";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"Préfecture";"TGO.1.3_2";"TG.CE.SO"
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"Préfecture";"TGO.1.4_2";"TG.CE.TB"
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"Préfecture";"TGO.1.5_2";"TG.CE.TD"
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"Préfecture";"TGO.2.1_1";"TG.KA.AS"
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"Préfecture";"TGO.2.2_1";"TG.KA.BA"
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"Préfecture";"TGO.2.3_1";"TG.KA.BI"
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"Préfecture";"TGO.2.7_1";"TG.KA.DP"
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"Préfecture";"TGO.2.4_1";"TG.KA.DO"
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"Préfecture";"TGO.2.5_1";"TG.KA.KE"
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"Préfecture";"TGO.2.6_1";"TG.KA.KO"
"TGO";"Togo";"Maritime";"TGO.3_1";"Agoe-Nyive";"Préfecture";"TGO.3.1_2";NA
"TGO";"Togo";"Maritime";"TGO.3_1";"Avé";"Préfecture";"TGO.3.2_2";"TG.MA.AV"
"TGO";"Togo";"Maritime";"TGO.3_1";"Bas-Mono";"Préfecture";"TGO.3.3_2";"TG.MA.BM"
"TGO";"Togo";"Maritime";"TGO.3_1";"Golfe";"Préfecture";"TGO.3.4_2";"TG.MA.GO"
"TGO";"Togo";"Maritime";"TGO.3_1";"Lacs";"Préfecture";"TGO.3.5_2";"TG.MA.LA"
"TGO";"Togo";"Maritime";"TGO.3_1";"Lomé";"Commune";"TGO.3.6_2";NA
"TGO";"Togo";"Maritime";"TGO.3_1";"Vo";"Préfecture";"TGO.3.7_2";"TG.MA.VO"
"TGO";"Togo";"Maritime";"TGO.3_1";"Yoto";"Préfecture";"TGO.3.8_2";"TG.MA.YO"
"TGO";"Togo";"Maritime";"TGO.3_1";"Zio";"Préfecture";"TGO.3.9_2";"TG.MA.ZI"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Agou";"Préfecture";"TGO.4.1_2";"TG.PL.AG"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Akébou";"Préfecture";"TGO.4.2_2";"TG.PL.AK"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Amou";"Préfecture";"TGO.4.3_2";"TG.PL.AM"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Anié";"Préfecture";"TGO.4.4_2";"TG.PL.AN"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Danyi";"Préfecture";"TGO.4.5_2";"TG.PL.DY"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Est-Mono";"Préfecture";"TGO.4.6_2";"TG.PL.ES"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Haho";"Préfecture";"TGO.4.7_2";"TG.PL.HA"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Kloto";"Préfecture";"TGO.4.8_2";"TG.PL.KL"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Kpélé";"Préfecture";"TGO.4.9_2";"TG.PL.KL"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Moyen-Mono";"Préfecture";"TGO.4.10_2";"TG.PL.MO"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Ogou";"Préfecture";"TGO.4.11_2";"TG.PL.OG"
"TGO";"Togo";"Plateaux";"TGO.4_1";"Wawa";"Préfecture";"TGO.4.12_2";"TG.PL.WA"
"TGO";"Togo";"Savanes";"TGO.5_1";"Cinkassé";"Préfecture";"TGO.5.1_2";"TG.SA.CI"
"TGO";"Togo";"Savanes";"TGO.5_1";"Kpendjal";"Préfecture";"TGO.5.2_2";"TG.SA.KP"
"TGO";"Togo";"Savanes";"TGO.5_1";"Naki-Ouest";"Préfecture";"TGO.5.3_2";NA
"TGO";"Togo";"Savanes";"TGO.5_1";"Oti";"Préfecture";"TGO.5.4_2";"TG.SA.OT"
"TGO";"Togo";"Savanes";"TGO.5_1";"Oti-Sud";"Préfecture";"TGO.5.5_2";NA
"TGO";"Togo";"Savanes";"TGO.5_1";"Tandjouaré";"Préfecture";"TGO.5.6_2";"TG.SA.TA"
"TGO";"Togo";"Savanes";"TGO.5_1";"Tône";"Préfecture";"TGO.5.7_2";"TG.SA.TO"
