GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADMIN2PCOD;POP2021
TGO;Togo;Centre;TGO.1_1;Blitta;Préfecture;TGO.1.1_2;TG.CE.BL;TG0101;177959
TGO;Togo;Centre;TGO.1_1;Mô;Sous-Préfecture;TGO.1.2_2;NA;TG0102;47892
TGO;Togo;Centre;TGO.1_1;Sotouboua;Préfecture;TGO.1.3_2;TG.CE.SO;TG0103;157754
TGO;Togo;Centre;TGO.1_1;Tchamba;Préfecture;TGO.1.4_2;TG.CE.TB;TG0104;169224
TGO;Togo;Centre;TGO.1_1;Tchaudjo;Préfecture;TGO.1.5_2;TG.CE.TD;TG0105;247405
TGO;Togo;Kara;TGO.2_1;Assoli;Préfecture;TGO.2.1_1;TG.KA.AS;TG0201;66587
TGO;Togo;Kara;TGO.2_1;Bassar;Préfecture;TGO.2.2_1;TG.KA.BA;TG0202;154114
TGO;Togo;Kara;TGO.2_1;Bimah;Préfecture;TGO.2.3_1;TG.KA.BI;TG0203;91229
TGO;Togo;Kara;TGO.2_1;Dankpen;Préfecture;TGO.2.7_1;TG.KA.DP;TG0204;166758
TGO;Togo;Kara;TGO.2_1;Doufelgou;Préfecture;TGO.2.4_1;TG.KA.DO;TG0205;102197
TGO;Togo;Kara;TGO.2_1;Kéran;Préfecture;TGO.2.5_1;TG.KA.KE;TG0206;120810
TGO;Togo;Kara;TGO.2_1;Kozah;Préfecture;TGO.2.6_1;TG.KA.KO;TG0207;295156
TGO;Togo;Maritime;TGO.3_1;Agoe-Nyive;Préfecture;TGO.3.1_2;NA;;
TGO;Togo;Maritime;TGO.3_1;Avé;Préfecture;TGO.3.2_2;TG.MA.AV;TG0301;121785
TGO;Togo;Maritime;TGO.3_1;Bas-Mono;Préfecture;TGO.3.3_2;TG.MA.BM;TG0302;114312
TGO;Togo;Maritime;TGO.3_1;Golfe;Préfecture;TGO.3.4_2;TG.MA.GO;TG0303;956393
TGO;Togo;Maritime;TGO.3_1;Lacs;Préfecture;TGO.3.5_2;TG.MA.LA;TG0304;223891
TGO;Togo;Maritime;TGO.3_1;Lomé;Commune;TGO.3.6_2;NA;TG0305;1100386
TGO;Togo;Maritime;TGO.3_1;Vo;Préfecture;TGO.3.7_2;TG.MA.VO;TG0306;271170
TGO;Togo;Maritime;TGO.3_1;Yoto;Préfecture;TGO.3.8_2;TG.MA.YO;TG0307;213602
TGO;Togo;Maritime;TGO.3_1;Zio;Préfecture;TGO.3.9_2;TG.MA.ZI;TG0308;385969
TGO;Togo;Plateaux;TGO.4_1;Agou;Préfecture;TGO.4.1_2;TG.PL.AG;TG0403;110426
TGO;Togo;Plateaux;TGO.4_1;Akébou;Préfecture;TGO.4.2_2;TG.PL.AK;TG0410;79742
TGO;Togo;Plateaux;TGO.4_1;Amou;Préfecture;TGO.4.3_2;TG.PL.AM;TG0401;136249
TGO;Togo;Plateaux;TGO.4_1;Anié;Préfecture;TGO.4.4_2;TG.PL.AN;TG0411;160529
TGO;Togo;Plateaux;TGO.4_1;Danyi;Préfecture;TGO.4.5_2;TG.PL.DY;TG0404;50537
TGO;Togo;Plateaux;TGO.4_1;Est-Mono;Préfecture;TGO.4.6_2;TG.PL.ES;TG0405;156121
TGO;Togo;Plateaux;TGO.4_1;Haho;Préfecture;TGO.4.7_2;TG.PL.HA;TG0406;317864
TGO;Togo;Plateaux;TGO.4_1;Kloto;Préfecture;TGO.4.8_2;TG.PL.KL;TG0412;182340
TGO;Togo;Plateaux;TGO.4_1;Kpélé;Préfecture;TGO.4.9_2;TG.PL.KL;TG0407;98091
TGO;Togo;Plateaux;TGO.4_1;Moyen-Mono;Préfecture;TGO.4.10_2;TG.PL.MO;TG0408;98463
TGO;Togo;Plateaux;TGO.4_1;Ogou;Préfecture;TGO.4.11_2;TG.PL.OG;TG0409;254223
TGO;Togo;Plateaux;TGO.4_1;Wawa;Préfecture;TGO.4.12_2;TG.PL.WA;TG0402;131061
TGO;Togo;Savanes;TGO.5_1;Cinkassé;Préfecture;TGO.5.1_2;TG.SA.CI;TG0517;100875
TGO;Togo;Savanes;TGO.5_1;Kpendjal;Préfecture;TGO.5.2_2;TG.SA.KP;TG0513;197108
TGO;Togo;Savanes;TGO.5_1;Naki-Ouest;Préfecture;TGO.5.3_2;NA;;
TGO;Togo;Savanes;TGO.5_1;Oti;Préfecture;TGO.5.4_2;TG.SA.OT;TG0514;243141
TGO;Togo;Savanes;TGO.5_1;Oti-Sud;Préfecture;TGO.5.5_2;NA;;
TGO;Togo;Savanes;TGO.5_1;Tandjouaré;Préfecture;TGO.5.6_2;TG.SA.TA;TG0515;151679
TGO;Togo;Savanes;TGO.5_1;Tône;Préfecture;TGO.5.7_2;TG.SA.TO;TG0516;367039
