"GID_0";"COUNTRY";"NAME_1";"GID_1";"NAME_2";"GID_2";"NAME_3";"TYPE_3";"GID_3";"HASC_3"
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Agbandi";"Commune";"TGO.1.1.1_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Atchintse";"Commune";"TGO.1.1.2_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Blitta-Gare";"Commune";"TGO.1.1.3_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Blitta Village";"Commune";"TGO.1.1.4_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Diguengue";"Commune";"TGO.1.1.5_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Dikpeleou";"Commune";"TGO.1.1.6_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Doufouli";"Commune";"TGO.1.1.7_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Katchenke";"Commune";"TGO.1.1.8_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Koffiti";"Commune";"TGO.1.1.9_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Langabou";"Commune";"TGO.1.1.10_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"M'Poti";"Commune";"TGO.1.1.11_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Pagala Gare";"Commune";"TGO.1.1.12_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Pagala Village";"Commune";"TGO.1.1.13_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Tchaloude";"Commune";"TGO.1.1.14_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Tchare-Baou";"Commune";"TGO.1.1.15_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Tchifama";"Commune";"TGO.1.1.16_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Tintchro";"Commune";"TGO.1.1.17_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Waragni";"Commune";"TGO.1.1.18_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Welly";"Commune";"TGO.1.1.19_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Yaloumbe";"Commune";"TGO.1.1.20_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Blitta";"TGO.1.1_2";"Yegue";"Commune";"TGO.1.1.21_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Mô";"TGO.1.2_2";"Boulohou";"Commune";"TGO.1.2.1_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Mô";"TGO.1.2_2";"Djarkpanga";"Commune";"TGO.1.2.2_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Mô";"TGO.1.2_2";"Kagnigbara";"Commune";"TGO.1.2.3_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Mô";"TGO.1.2_2";"Saiboude";"Commune";"TGO.1.2.4_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Mô";"TGO.1.2_2";"Tindjassi";"Commune";"TGO.1.2.5_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Adjengere";"Commune";"TGO.1.3.1_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Aouda";"Commune";"TGO.1.3.2_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Bodjonde";"Commune";"TGO.1.3.3_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Fazao";"Commune";"TGO.1.3.4_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Kaniamboua";"Commune";"TGO.1.3.5_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Kazaboua";"Commune";"TGO.1.3.6_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Sessaro";"Commune";"TGO.1.3.7_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Sotouboua";"Commune";"TGO.1.3.8_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Tabinde";"Commune";"TGO.1.3.9_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Tchebebe";"Commune";"TGO.1.3.10_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Sotouboua";"TGO.1.3_2";"Titigbe";"Commune";"TGO.1.3.11_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Affem";"Commune";"TGO.1.4.1_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Alibi";"Commune";"TGO.1.4.2_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Bago";"Commune";"TGO.1.4.3_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Balanka";"Commune";"TGO.1.4.4_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Goubi";"Commune";"TGO.1.4.5_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Kaboli";"Commune";"TGO.1.4.6_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Koussountou";"Commune";"TGO.1.4.7_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Kri-Kri";"Commune";"TGO.1.4.8_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Larni";"Commune";"TGO.1.4.9_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchamba";"TGO.1.4_2";"Tchamba";"Commune";"TGO.1.4.10_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Agoulou";"Commune";"TGO.1.5.1_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Aleheride/Amaide";"Commune";"TGO.1.5.2_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Kadambara";"Commune";"TGO.1.5.3_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Kemeni";"Commune";"TGO.1.5.4_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Kolina";"Commune";"TGO.1.5.5_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Komah";"Commune";"TGO.1.5.6_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Kpangalam";"Commune";"TGO.1.5.7_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Kparatao";"Commune";"TGO.1.5.8_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Kpassouade";"Commune";"TGO.1.5.9_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Lama-Tessi";"Commune";"TGO.1.5.10_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Tchalo";"Commune";"TGO.1.5.11_1";NA
"TGO";"Togo";"Centre";"TGO.1_1";"Tchaudjo";"TGO.1.5_2";"Wassarabo";"Commune";"TGO.1.5.12_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"TGO.2.1_1";"Aledjo";"Commune";"TGO.2.1.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"TGO.2.1_1";"Bafilo";"Commune";"TGO.2.1.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"TGO.2.1_1";"Boulade";"Commune";"TGO.2.1.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"TGO.2.1_1";"Dako/Daoude";"Commune";"TGO.2.1.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"TGO.2.1_1";"Koumonde";"Commune";"TGO.2.1.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Assoli";"TGO.2.1_1";"Soudou";"Commune";"TGO.2.1.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Baghan";"Commune";"TGO.2.2.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Bangeli";"Commune";"TGO.2.2.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Bassar";"Commune";"TGO.2.2.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Bitchabe";"Commune";"TGO.2.2.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Dimori";"Commune";"TGO.2.2.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Kabou";"Commune";"TGO.2.2.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Kalanga";"Commune";"TGO.2.2.7_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Manga";"Commune";"TGO.2.2.8_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Sanda-Afohou";"Commune";"TGO.2.2.9_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bassar";"TGO.2.2_1";"Sanda-Kagbanda";"Commune";"TGO.2.2.10_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Boufale";"Commune";"TGO.2.3.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Kemerida";"Commune";"TGO.2.3.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Ketao";"Commune";"TGO.2.3.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Lama-Dessi";"Commune";"TGO.2.3.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Pagouda";"Commune";"TGO.2.3.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Pessare";"Commune";"TGO.2.3.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Pitikita";"Commune";"TGO.2.3.7_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Sirka";"Commune";"TGO.2.3.8_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Bimah";"TGO.2.3_1";"Sola";"Commune";"TGO.2.3.9_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Bapure";"Commune";"TGO.2.7.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Guerin-Kouka";"Commune";"TGO.2.7.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Katchamba";"Commune";"TGO.2.7.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Kidjaboun";"Commune";"TGO.2.7.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Koulfiekou";"Commune";"TGO.2.7.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Koutchitcheou";"Commune";"TGO.2.7.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Namon";"Commune";"TGO.2.7.7_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Nampoch";"Commune";"TGO.2.7.8_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Nandouta";"Commune";"TGO.2.7.9_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Natchibore";"Commune";"TGO.2.7.10_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Natchitikpi";"Commune";"TGO.2.7.11_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Dankpen";"TGO.2.7_1";"Naware";"Commune";"TGO.2.7.12_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Agbandi-Yaka";"Commune";"TGO.2.4.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Aloum";"Commune";"TGO.2.4.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Baga";"Commune";"TGO.2.4.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Defale";"Commune";"TGO.2.4.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Kadjalla";"Commune";"TGO.2.4.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Koka";"Commune";"TGO.2.4.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Kpaha";"Commune";"TGO.2.4.7_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Leon";"Commune";"TGO.2.4.8_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Massedena";"Commune";"TGO.2.4.9_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Niamtougou";"Commune";"TGO.2.4.10_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Pouda";"Commune";"TGO.2.4.11_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Siou";"Commune";"TGO.2.4.12_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Tchore";"Commune";"TGO.2.4.13_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Doufelgou";"TGO.2.4_1";"Tenega";"Commune";"TGO.2.4.14_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Akponte";"Commune";"TGO.2.5.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Atalote";"Commune";"TGO.2.5.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Helota";"Commune";"TGO.2.5.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Kande";"Commune";"TGO.2.5.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Koutougou";"Commune";"TGO.2.5.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Nadoba";"Commune";"TGO.2.5.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Ossacre";"Commune";"TGO.2.5.7_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Pesside";"Commune";"TGO.2.5.8_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kéran";"TGO.2.5_1";"Warengo";"Commune";"TGO.2.5.9_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Atchangbade";"Commune";"TGO.2.6.1_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Awandjelo";"Commune";"TGO.2.6.2_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Bohou";"Commune";"TGO.2.6.3_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Djamde";"Commune";"TGO.2.6.4_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Koumea";"Commune";"TGO.2.6.5_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Lama";"Commune";"TGO.2.6.6_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Landa";"Commune";"TGO.2.6.7_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Landa-Pozenda/Kpinzinde";"Commune";"TGO.2.6.8_1";NA
"TGO";"Togo";"Kara";"TGO.2_1";"Kozah";"TGO.2.6_1";"Lassa";"Commune";"TGO.2.6.9_1";NA
